DUNGEON_INFO	Zindan Bilgilendirme
DUNGEON_INFO_TYPE	Tür:
DUNGEON_INFO_ORGANIZATION	Giriþ Þekli:
DUNGEON_INFO_LEVEL_LIMIT	Seviye Limiti:
DUNGEON_INFO_PARTY_MEMBERS	Max. Grup Üyesi:
DUNGEON_INFO_COOLDOWN	Soðuma Süresi:
DUNGEON_INFO_DURATION	Zindan Süresi:
DUNGEON_INFO_ENTRANCE	Giriþ Haritasý:
DUNGEON_INFO_STRENGTH	Güç Bonusu:
DUNGEON_INFO_RESISTANCE	Savunma Bonusu:
DUNGEON_INFO_TOTAL_FINISHED	Bitirme Sayýsý:
DUNGEON_INFO_FASTEST_TIME	En Hýzlý Zaman:
DUNGEON_INFO_HIGHEST_DAMAGE	En Yüksek Hasar:
DUNGEON_INFO_TELEPORT	Iþýnlan
DUNGEON_INFO_CLOSE	Kapat
DUNGEON_INFO_PERSONAL_STATS	
DUNGEON_INFO_DUNGEON	Zindan
DUNGEON_RANKING	Sýralama
DUNGEON_RANKING_POSITION	Sýra
DUNGEON_RANKING_NAME	Ýsim
DUNGEON_RANKING_LEVEL	Seviye
DUNGEON_RANKING_POINTS	Puan
DUNGEON_RANKING_TYPE1	Bitirme
DUNGEON_RANKING_TYPE2	Zaman
DUNGEON_RANKING_TYPE3	Hasar
DUNGEON_RANKING_POINT_TYPE1	Bitirme
DUNGEON_RANKING_POINT_TYPE2	Min. Zaman
DUNGEON_RANKING_POINT_TYPE3	Hasar
